"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://www.strique.io/","200","OK","553","0","","","Agentic AI Marketing Platform for Growth Teams | Strique","","Marketing Agents for Ecommerce BrandsThat Actually Drive Revenue","","Run paid media, SEO, content, lifecycle, and reporting from one agentic AI. The leading agentic AI for marketing — used by 1,247 marketers in 38 countries.","","https://www.strique.io/","","49","0","18","0","5","0","index, follow","","https://www.strique.io/","https://www.strique.io/","","","","",""
"https://www.strique.io/contact","200","OK","88","0","","","Contact Strique Sales and Support · Strique","","Let's talk.","","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","","https://www.strique.io/contact","","49","0","14","0","6","0","index, follow","","https://www.strique.io/contact","https://www.strique.io/contact","","","","",""
"https://www.strique.io/customers/powerlook","200","OK","279","0","","","Powerlook Customer Case Study · Strique","","Powerlook grew revenue 72% while scaling user registrations and conversions.","","Fast-fashion brand Powerlook used Strique to compress their creative cycle, scale acquisition, and grow revenue without proportionally adding ad spend or headcount.","","https://www.strique.io/customers/powerlook","","4","0","17","0","7","0","index, follow","","https://www.strique.io/customers/powerlook","https://www.strique.io/customers/powerlook","","","","",""
"https://www.strique.io/customers/inc5","200","OK","276","0","","","INC5 Customer Case Study · Strique","","INC5 doubled net sales while compounding topline growth month over month.","","INC5 used Strique to consolidate their fragmented marketing stack, going from 8 vendors and freelancers to a single agent loop that compounded results every month.","","https://www.strique.io/customers/inc5","","4","0","17","0","7","0","index, follow","","https://www.strique.io/customers/inc5","https://www.strique.io/customers/inc5","","","","",""
"https://www.strique.io/customers","200","OK","181","0","","","Strique Customer Case Studies and Growth Results · Strique","","Real teams. Real numbers. Real shipped.","","Case studies from teams running their entire growth stack on Strique. Real numbers, real outcomes, real trade-offs.","","https://www.strique.io/customers","","49","0","18","0","5","0","index, follow","","https://www.strique.io/customers","https://www.strique.io/customers","","","","",""
"https://www.strique.io/product","200","OK","822","0","","","Strique: Agentic AI Marketing Platform for Ecommerce Brands · Strique","","One agent loop. Every channel. Every outcome.","","Strique is the agentic AI marketing platform built for ecommerce. Autonomous AI agents run paid media, SEO, content, and campaign optimisation across Meta, Google, TikTok, and more, with Brand DNA built in.","","https://www.strique.io/product","","49","0","17","0","5","0","index, follow","","https://www.strique.io/product","https://www.strique.io/product","","","","",""
"https://www.strique.io/terms","200","OK","7021","0","","","Terms of Use · Strique","","Terms of Use","","The agreement you enter into when using Strique. Acceptable use, billing, approvals, warranty, and liability.","","https://www.strique.io/terms","","49","0","14","0","7","0","index, follow","","https://www.strique.io/terms","https://www.strique.io/terms","","","","",""
"https://www.strique.io/for","200","OK","143","0","","","Strique for Marketing Teams, CMOs, and Founders · Strique","","Find the role you're playing right now.","","Whether you're a marketing manager, a CMO, or a founder doing marketing at 11pm, here's how Strique fits your role.","","https://www.strique.io/for","","4","0","17","0","5","0","index, follow","","https://www.strique.io/for","https://www.strique.io/for","","","","",""
"https://www.strique.io/pricing","200","OK","452","0","","","Strique Pricing for AI Marketing Agents · Strique","","Credits that power your entire marketing stack.","","Credit-based pricing for AI marketing agents. Starter from $199/mo. Growth, Scale, and Enterprise plans for teams that move fast.","","https://www.strique.io/pricing","","49","0","14","0","5","0","index, follow","","https://www.strique.io/pricing","https://www.strique.io/pricing","","","","",""
"https://www.strique.io/solutions","200","OK","182","0","","","AI Marketing Solutions by Business Type · Strique","","Strique, tuned for how your business actually runs.","","Strique configurations tuned for specific business types: e-commerce, B2B SaaS, agencies, local services.","","https://www.strique.io/solutions","","49","0","19","0","5","0","index, follow","","https://www.strique.io/solutions","https://www.strique.io/solutions","","","","",""
"https://www.strique.io/privacy-policy","200","OK","3632","0","","","Privacy Policy · Strique","","Privacy Policy","","How Strique collects, uses, and protects personal data. GDPR compliant. Sub-processors, rights, and retention.","","https://www.strique.io/privacy-policy","","49","0","14","0","8","0","index, follow","","https://www.strique.io/privacy-policy","https://www.strique.io/privacy-policy","","","","",""
"https://www.strique.io/trust-center","200","OK","577","0","","","Strique Trust Center - Security, Compliance & Data Practices · Strique","","Security and compliance, with nothing to hide.","","ISO/IEC 27001:2022 certified and GDPR compliant. Audit reports, certifications, sub-processor lists, and DPIA - all available on request.","","https://www.strique.io/trust-center","","49","0","14","0","17","0","index, follow","","https://www.strique.io/trust-center","https://www.strique.io/trust-center","","","","",""
"https://www.strique.io/about","200","OK","401","0","","","About Strique and the AI Marketing OS Team · Strique","","Marketing, re-imagined as an agent loop.","","Strique is the AI marketing OS we wanted to use ourselves. One agent, every channel, always on. Meet the team building it.","","https://www.strique.io/about","","49","0","15","0","5","0","index, follow","","https://www.strique.io/about","https://www.strique.io/about","","","","",""
"https://www.strique.io/security","200","OK","478","0","","","Strique Security, Compliance, and Trust · Strique","","Built for teams that can't afford to ship blind.","","ISO/IEC 27001 certified, GDPR compliant. Encryption, isolation, versioning, audit logs, and approval gates built in from day one.","","https://www.strique.io/security","","49","0","14","0","5","0","index, follow","","https://www.strique.io/security","https://www.strique.io/security","","","","",""
"https://www.strique.io/careers","200","OK","442","0","","","Careers at Strique for AI Product Builders · Strique","","Build the AI marketing OS.","","Open roles at Strique: engineering, design, research, GTM. Small team, high leverage, hybrid and flexible, async-default.","","https://www.strique.io/careers","","49","0","23","0","5","0","index, follow","","https://www.strique.io/careers","https://www.strique.io/careers","","","","",""
"https://www.strique.io/customers/crimzon","200","OK","293","0","","","Crimzon Customer Case Study · Strique","","Crimzon grew revenue 163% and lifted ROAS 21% while scaling spend 2×.","","Crimzon used Strique to scale paid acquisition aggressively without ROAS collapse, pairing creative velocity with conversion-rate gains and AOV uplift.","","https://www.strique.io/customers/crimzon","","4","0","17","0","7","0","index, follow","","https://www.strique.io/customers/crimzon","https://www.strique.io/customers/crimzon","","","","",""
"https://www.strique.io/integrations","200","OK","135","0","","","Strique Integrations for Marketing Teams · Strique","","Connects to what you already run on.","","Native connectors to the ad platforms, CRMs, email providers, and automation tools your team already runs on.","","https://www.strique.io/integrations","","49","0","18","0","5","0","index, follow","","https://www.strique.io/integrations","https://www.strique.io/integrations","","","","",""
"https://www.strique.io/integrations/hubspot","200","OK","182","0","","","HubSpot integration · Strique","","Strique × HubSpot","","Bi-directional CRM sync. Strique reads deal state to inform campaigns and writes contacts and activities back from agent actions.","","https://www.strique.io/integrations/hubspot","","1","0","14","0","5","0","index, follow","","https://www.strique.io/integrations/hubspot","https://www.strique.io/integrations/hubspot","","","","",""
"https://www.strique.io/contact?intent=careers","200","OK","88","0","","","Contact Strique Sales and Support · Strique","","Let's talk.","","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","","https://www.strique.io/contact","","1","0","14","0","6","0","index, follow","","https://www.strique.io/contact?intent=careers","https://www.strique.io/contact?intent=careers","","","","",""
"https://www.strique.io/integrations/google-ads","200","OK","180","0","","","Google Ads integration · Strique","","Strique × Google Ads","","Search, Performance Max, YouTube, and Display managed as one loop with shared learning across campaign types.","","https://www.strique.io/integrations/google-ads","","1","0","14","0","5","0","index, follow","","https://www.strique.io/integrations/google-ads","https://www.strique.io/integrations/google-ads","","","","",""
"https://www.strique.io/integrations/meta-ads","200","OK","208","0","","","Meta Ads integration · Strique","","Strique × Meta Ads","","Full-stack Meta Ads management: audit, creative generation, launch, optimization, and reporting across Facebook and Instagram placements.","","https://www.strique.io/integrations/meta-ads","","1","0","14","0","5","0","index, follow","","https://www.strique.io/integrations/meta-ads","https://www.strique.io/integrations/meta-ads","","","","",""
"https://www.strique.io/careers/ai-apprentice-program","200","OK","251","0","","","AI Apprentice (6-month program) | Careers · Strique","","AI Apprentice (6-month program)","","Six months, paid, outcome-oriented. Ship one product area end-to-end under a founder mentor. Full-time offer at the end if it works for both sides.","","https://www.strique.io/careers/ai-apprentice-program","","1","0","15","0","5","0","index, follow","","https://www.strique.io/careers/ai-apprentice-program","https://www.strique.io/careers/ai-apprentice-program","","","","",""
"https://www.strique.io/careers/founding-customer-engineer","200","OK","234","0","","","Founding Customer Engineer | Careers · Strique","","Founding Customer Engineer","","Onboard scale + enterprise customers, write integrations, unblock deals. Deep product + connector knowledge. Quota-adjacent.","","https://www.strique.io/careers/founding-customer-engineer","","1","0","15","0","5","0","index, follow","","https://www.strique.io/careers/founding-customer-engineer","https://www.strique.io/careers/founding-customer-engineer","","","","",""
"https://www.strique.io/careers/revenue-marketer","200","OK","239","0","","","Revenue Marketer | Careers · Strique","","Revenue Marketer","","Run paid, lifecycle, content, and community with Strique as your OS. Report to the founder. First marketing hire.","","https://www.strique.io/careers/revenue-marketer","","1","0","15","0","5","0","index, follow","","https://www.strique.io/careers/revenue-marketer","https://www.strique.io/careers/revenue-marketer","","","","",""
"https://www.strique.io/careers/senior-full-stack-engineer","200","OK","244","0","","","Senior Full-Stack Engineer | Careers · Strique","","Senior Full-Stack Engineer","","Own features end-to-end across our Next.js web app, agent runtime, and connector layer. TypeScript + Python + Postgres + Cloudflare.","","https://www.strique.io/careers/senior-full-stack-engineer","","1","0","15","0","5","0","index, follow","","https://www.strique.io/careers/senior-full-stack-engineer","https://www.strique.io/careers/senior-full-stack-engineer","","","","",""
"https://www.strique.io/careers/product-designer","200","OK","245","0","","","Product Designer | Careers · Strique","","Product Designer","","Design the chat interface, Canvas reports, skills surface, and brand system. Comfortable shipping in Figma + pairing on the implementation in code.","","https://www.strique.io/careers/product-designer","","1","0","15","0","5","0","index, follow","","https://www.strique.io/careers/product-designer","https://www.strique.io/careers/product-designer","","","","",""
"https://www.strique.io/careers/agent-infrastructure-engineer","200","OK","242","0","","","Agent Infrastructure Engineer | Careers · Strique","","Agent Infrastructure Engineer","","Build the runtime that powers the agent loop: tool dispatch, streaming, checkpointing, eval. Deep Python + LLM serving experience.","","https://www.strique.io/careers/agent-infrastructure-engineer","","1","0","15","0","5","0","index, follow","","https://www.strique.io/careers/agent-infrastructure-engineer","https://www.strique.io/careers/agent-infrastructure-engineer","","","","",""
